last_order_date|distinct_weeks|days_since_last_order|user_recency_score|user_frequency_score
2020-11-20|4|10|4|2
2020-11-22|2|8|4|1
2020-11-29|8|1|5|5
2020-11-29|3|1|5|1
2020-11-20|2|10|4|1
2020-11-29|6|1|5|4
2020-11-21|4|9|4|2
2020-11-29|7|1|5|4
2020-10-22|6|39|2|4
2020-11-17|1|13|4|1
2020-09-10|3|81|1|1
2020-09-02|3|89|1|1
2020-11-24|8|6|4|5
2020-11-02|2|28|3|1
2020-11-20|3|10|4|1
2020-11-09|9|21|3|5
2020-11-18|10|12|4|5
2020-11-21|4|9|4|2
2020-10-19|4|42|2|2
2020-11-21|9|9|4|5
2020-11-22|7|8|4|4
2020-10-02|1|59|1|1
2020-11-15|7|15|3|4
2020-11-22|3|8|4|1
2020-10-21|3|40|2|1
2020-11-17|5|13|4|3
2020-07-08|2|145|1|1
2020-10-03|2|58|1|1
2020-11-29|6|1|5|4
2020-11-25|2|5|5|1
2020-11-25|4|5|5|2
2020-10-11|3|50|2|1
2020-10-25|8|36|2|5
2020-11-24|6|6|4|4
2020-11-15|6|15|3|4
2020-11-15|8|15|3|5
2020-11-10|7|20|3|4
2020-11-21|6|9|4|4
2020-11-29|12|1|5|5
2020-09-22|2|69|1|1
2020-11-20|4|10|4|2
2020-11-02|5|28|3|3
2020-11-17|6|13|4|4
2020-11-17|5|13|4|3
2020-11-22|3|8|4|1
2020-11-23|2|7|4|1
2020-11-28|15|2|5|5
2020-11-29|3|1|5|1
2020-07-14|1|139|1|1
2020-10-01|2|60|1|1
2020-11-29|9|1|5|5
2020-11-29|9|1|5|5
2020-10-28|6|33|2|4
2020-11-23|12|7|4|5
2020-10-11|6|50|2|4
2020-09-15|3|76|1|1
2020-07-30|2|123|1|1
2020-06-01|1|182|1|1
2020-11-09|7|21|3|4
2020-07-28|2|125|1|1
2020-10-13|3|48|2|1
2020-11-06|2|24|3|1
2020-11-23|2|7|4|1
2020-11-15|7|15|3|4
2020-08-30|3|92|1|1
2020-11-21|5|9|4|3
2020-11-09|5|21|3|3
2020-11-28|4|2|5|2
2020-11-18|5|12|4|3
2020-11-22|6|8|4|4
2020-10-27|2|34|2|1
2020-11-26|11|4|5|5
2020-08-09|2|113|1|1
2020-11-23|8|7|4|5
2020-11-30|10|0|5|5
2020-11-09|3|21|3|1
2020-10-18|3|43|2|1
2020-11-10|3|20|3|1
2020-11-17|5|13|4|3
2020-10-21|4|40|2|2
2020-11-26|7|4|5|4
2020-11-22|5|8|4|3
2020-06-26|1|157|1|1
2020-11-26|3|4|5|1
2020-11-26|7|4|5|4
2020-11-28|6|2|5|4
2020-11-21|9|9|4|5
2020-11-13|10|17|3|5
2020-11-26|8|4|5|5
2020-09-20|2|71|1|1
2020-09-12|3|79|1|1
2020-09-10|2|81|1|1
2020-11-01|2|29|2|1
2020-11-16|6|14|3|4
2020-08-12|3|110|1|1
2020-10-19|4|42|2|2
2020-11-17|6|13|4|4
2020-10-26|5|35|2|3
2020-10-14|12|47|2|5
2020-11-14|3|16|3|1
2020-11-29|3|1|5|1
2020-11-17|7|13|4|4
2020-10-25|4|36|2|2
2020-10-30|3|31|2|1
2020-10-02|8|59|1|5
2020-07-30|2|123|1|1
2020-09-01|4|90|1|2
2020-11-22|4|8|4|2
2020-10-20|4|41|2|2
2020-09-30|7|61|1|4
2020-11-30|10|0|5|5
2020-11-10|7|20|3|4
2020-10-19|4|42|2|2
2020-11-29|13|1|5|5
2020-11-14|5|16|3|3
2020-10-14|2|47|2|1
2020-11-29|5|1|5|3
2020-07-08|1|145|1|1
2020-11-09|2|21|3|1
2020-11-28|8|2|5|5
2020-11-15|4|15|3|2
2020-11-19|4|11|4|2
2020-11-25|11|5|5|5
2020-08-21|2|101|1|1
2020-11-19|5|11|4|3
2020-09-08|2|83|1|1
2020-11-12|5|18|3|3
2020-10-04|5|57|1|3
2020-10-14|5|47|2|3
2020-11-25|11|5|5|5
2020-11-29|3|1|5|1
2020-11-09|2|21|3|1
2020-11-30|8|0|5|5
2020-08-31|1|91|1|1
2020-10-19|7|42|2|4
2020-11-28|7|2|5|4
2020-11-14|5|16|3|3
2020-07-12|1|141|1|1
2020-11-02|3|28|3|1
2020-11-29|11|1|5|5
2020-10-25|6|36|2|4
2020-06-30|3|153|1|1
2020-08-14|4|108|1|2
2020-11-30|5|0|5|3
2020-11-25|2|5|5|1
2020-10-30|4|31|2|2
2020-11-20|11|10|4|5
2020-11-14|2|16|3|1
2020-09-28|4|63|1|2
2020-11-14|3|16|3|1
2020-09-27|2|64|1|1
2020-10-20|4|41|2|2
2020-11-22|6|8|4|4
2020-09-24|4|67|1|2
2020-11-08|11|22|3|5
2020-11-28|9|2|5|5
2020-11-15|7|15|3|4
2020-11-02|2|28|3|1
2020-11-25|5|5|5|3
2020-11-27|6|3|5|4
2020-11-14|4|16|3|2
2020-11-09|2|21|3|1
2020-11-23|4|7|4|2
2020-11-27|8|3|5|5
2020-11-28|7|2|5|4
2020-09-29|3|62|1|1
2020-10-31|4|30|2|2
2020-11-15|7|15|3|4
2020-09-02|4|89|1|2
2020-11-11|2|19|3|1
2020-11-08|4|22|3|2
2020-11-15|3|15|3|1
2020-11-29|7|1|5|4
2020-11-29|6|1|5|4
2020-11-30|3|0|5|1
2020-09-22|2|69|1|1
2020-11-09|3|21|3|1
2020-10-28|4|33|2|2
2020-11-27|8|3|5|5
2020-11-25|9|5|5|5
2020-11-15|11|15|3|5
2020-11-29|5|1|5|3
2020-11-27|4|3|5|2
2020-11-28|8|2|5|5
2020-08-30|1|92|1|1
2020-10-12|4|49|2|2
2020-10-19|4|42|2|2
2020-10-19|5|42|2|3
2020-11-22|11|8|4|5
2020-10-24|4|37|2|2
2020-06-02|1|181|1|1
2020-10-18|4|43|2|2
2020-09-29|4|62|1|2
2020-11-09|7|21|3|4
2020-11-27|7|3|5|4
2020-11-28|10|2|5|5
2020-10-20|4|41|2|2
2020-11-25|3|5|5|1
2020-11-08|10|22|3|5
2020-11-26|10|4|5|5
2020-07-23|1|130|1|1
2020-07-31|1|122|1|1
2020-11-17|3|13|4|1
2020-11-25|7|5|5|4
2020-11-21|9|9|4|5
2020-09-28|2|63|1|1
2020-11-12|3|18|3|1
2020-11-25|4|5|5|2
2020-11-08|6|22|3|4
2020-10-20|4|41|2|2
2020-11-19|5|11|4|3
2020-11-15|5|15|3|3
2020-08-28|2|94|1|1
2020-11-29|9|1|5|5
2020-10-30|6|31|2|4
2020-11-17|4|13|4|2
2020-11-22|4|8|4|2
2020-11-23|7|7|4|4
2020-11-17|5|13|4|3
2020-11-14|5|16|3|3
2020-10-26|2|35|2|1
2020-10-10|3|51|2|1
2020-10-25|6|36|2|4
2020-10-18|4|43|2|2
2020-07-25|2|128|1|1
2020-11-17|2|13|4|1
2020-11-16|3|14|3|1
2020-10-28|4|33|2|2
2020-09-09|4|82|1|2
2020-11-10|5|20|3|3
2020-11-13|3|17|3|1
2020-11-15|6|15|3|4
2020-11-15|5|15|3|3
2020-11-03|13|27|3|5
2020-10-28|5|33|2|3
2020-10-20|2|41|2|1
2020-06-05|1|178|1|1
2020-11-25|4|5|5|2
2020-09-28|3|63|1|1
2020-11-23|7|7|4|4
2020-11-25|10|5|5|5
2020-11-21|4|9|4|2
2020-10-21|1|40|2|1
2020-11-22|3|8|4|1
2020-11-07|10|23|3|5
2020-11-23|2|7|4|1
2020-09-20|4|71|1|2
2020-09-08|2|83|1|1
2020-11-28|7|2|5|4
2020-11-15|5|15|3|3
2020-09-17|3|74|1|1
2020-11-20|8|10|4|5
2020-10-08|3|53|1|1
2020-11-03|5|27|3|3
2020-09-25|4|66|1|2
2020-10-21|3|40|2|1
2020-10-30|4|31|2|2
2020-09-12|1|79|1|1
2020-10-12|9|49|2|5
2020-11-21|5|9|4|3
2020-09-02|4|89|1|2
2020-09-10|4|81|1|2
2020-07-17|2|136|1|1
2020-11-29|10|1|5|5
2020-09-20|2|71|1|1
2020-09-21|2|70|1|1
2020-10-20|3|41|2|1
2020-11-21|11|9|4|5
2020-11-21|11|9|4|5
2020-11-22|10|8|4|5
2020-11-28|8|2|5|5
2020-11-10|3|20|3|1
2020-11-27|12|3|5|5
2020-11-25|5|5|5|3
2020-11-02|7|28|3|4
2020-09-29|5|62|1|3
2020-11-15|1|15|3|1
2020-11-24|2|6|4|1
2020-10-07|5|54|1|3
2020-11-20|3|10|4|1
2020-11-30|6|0|5|4
2020-11-29|10|1|5|5
2020-10-20|8|41|2|5
2020-11-08|8|22|3|5
2020-10-20|3|41|2|1
2020-08-31|2|91|1|1
2020-11-12|9|18|3|5
2020-08-24|1|98|1|1
2020-11-20|8|10|4|5
2020-11-14|4|16|3|2
2020-11-11|5|19|3|3
2020-10-16|5|45|2|3
2020-11-08|5|22|3|3
2020-11-30|7|0|5|4
2020-09-23|5|68|1|3
2020-08-24|3|98|1|1
2020-10-27|6|34|2|4
2020-11-22|12|8|4|5
2020-11-25|4|5|5|2
2020-11-17|6|13|4|4
2020-10-10|5|51|2|3
2020-11-27|3|3|5|1
2020-11-25|8|5|5|5
2020-11-20|3|10|4|1
2020-10-14|5|47|2|3
2020-11-27|8|3|5|5
2020-11-23|5|7|4|3
2020-11-22|6|8|4|4
2020-11-27|6|3|5|4
2020-10-11|3|50|2|1
2020-11-13|8|17|3|5
2020-10-05|6|56|1|4
2020-11-23|2|7|4|1
2020-09-11|5|80|1|3
2020-09-24|1|67|1|1
2020-11-30|9|0|5|5
2020-11-21|6|9|4|4
2020-11-29|10|1|5|5
2020-11-21|3|9|4|1
2020-11-21|5|9|4|3
2020-11-29|2|1|5|1
2020-11-25|5|5|5|3
2020-11-23|7|7|4|4
2020-10-02|4|59|1|2
2020-11-09|3|21|3|1
2020-11-21|5|9|4|3
2020-11-27|3|3|5|1
2020-11-10|7|20|3|4
2020-11-26|6|4|5|4
2020-10-09|3|52|2|1
2020-10-05|3|56|1|1
2020-09-02|2|89|1|1
2020-11-01|4|29|2|2
2020-11-07|9|23|3|5
2020-11-23|8|7|4|5
2020-10-12|4|49|2|2
2020-10-30|5|31|2|3
2020-11-22|11|8|4|5
2020-09-09|3|82|1|1
2020-11-07|6|23|3|4
2020-10-29|6|32|2|4
2020-11-23|9|7|4|5
2020-11-29|10|1|5|5
2020-11-02|4|28|3|2
2020-10-29|4|32|2|2
2020-11-25|5|5|5|3
2020-11-03|6|27|3|4
2020-06-25|1|158|1|1
2020-11-21|7|9|4|4
2020-11-02|2|28|3|1
2020-10-03|4|58|1|2
2020-11-28|10|2|5|5
2020-11-10|11|20|3|5
2020-11-30|5|0|5|3
2020-11-09|5|21|3|3
2020-11-23|3|7|4|1
2020-11-12|4|18|3|2
2020-11-21|7|9|4|4
2020-11-03|5|27|3|3
2020-11-25|8|5|5|5
2020-09-21|2|70|1|1
2020-11-30|6|0|5|4
2020-11-09|7|21|3|4
2020-11-12|6|18|3|4
2020-10-06|5|55|1|3
2020-11-14|4|16|3|2
2020-10-31|5|30|2|3
2020-08-23|4|99|1|2
2020-09-19|4|72|1|2
2020-11-10|4|20|3|2
2020-10-09|4|52|2|2
2020-10-12|6|49|2|4
2020-11-02|5|28|3|3
2020-10-12|4|49|2|2
2020-11-13|2|17|3|1
2020-07-12|2|141|1|1
2020-11-29|8|1|5|5
2020-11-30|3|0|5|1
2020-11-29|5|1|5|3
2020-06-10|1|173|1|1
2020-11-22|6|8|4|4
2020-08-31|3|91|1|1
2020-11-13|9|17|3|5
2020-11-30|8|0|5|5
2020-11-06|7|24|3|4
2020-11-09|11|21|3|5
2020-11-24|4|6|4|2
2020-11-09|4|21|3|2
2020-10-28|4|33|2|2
2020-11-29|5|1|5|3
2020-11-22|5|8|4|3
2020-11-28|7|2|5|4
2020-10-09|4|52|2|2
2020-11-23|6|7|4|4
2020-09-29|2|62|1|1
2020-11-13|4|17|3|2
2020-11-29|4|1|5|2
2020-11-28|8|2|5|5
2020-11-13|5|17|3|3
2020-11-15|3|15|3|1
2020-11-17|5|13|4|3
2020-11-07|5|23|3|3
2020-11-25|2|5|5|1
2020-11-02|1|28|3|1
2020-11-29|5|1|5|3
2020-11-25|8|5|5|5
2020-11-15|5|15|3|3
2020-11-24|11|6|4|5
2020-11-26|4|4|5|2
2020-10-31|3|30|2|1
2020-11-29|5|1|5|3
2020-11-04|6|26|3|4
2020-06-04|1|179|1|1
2020-11-14|5|16|3|3
2020-11-02|7|28|3|4
2020-11-01|3|29|2|1
2020-11-20|5|10|4|3
2020-11-08|7|22|3|4
2020-11-21|7|9|4|4
2020-09-14|5|77|1|3
2020-10-14|3|47|2|1
2020-11-10|12|20|3|5
2020-11-21|4|9|4|2
2020-11-12|7|18|3|4
2020-10-21|9|40|2|5
2020-11-29|6|1|5|4
2020-10-23|5|38|2|3
2020-11-22|4|8|4|2
2020-11-26|4|4|5|2
2020-08-20|2|102|1|1
2020-10-07|4|54|1|2
2020-11-22|7|8|4|4
2020-11-09|7|21|3|4
2020-10-28|3|33|2|1
2020-11-09|6|21|3|4
2020-11-10|6|20|3|4
2020-10-25|3|36|2|1
2020-10-25|8|36|2|5
2020-11-22|6|8|4|4
2020-10-01|2|60|1|1
2020-10-15|5|46|2|3
2020-11-30|3|0|5|1
2020-11-29|2|1|5|1
2020-10-08|7|53|1|4
2020-10-23|6|38|2|4
2020-10-08|6|53|1|4
2020-08-25|2|97|1|1
2020-11-28|5|2|5|3
2020-09-27|3|64|1|1
2020-10-05|4|56|1|2
2020-08-09|3|113|1|1
2020-11-25|11|5|5|5
2020-11-09|7|21|3|4
2020-11-06|4|24|3|2
2020-10-23|6|38|2|4
2020-11-13|4|17|3|2
2020-11-15|3|15|3|1
2020-10-25|3|36|2|1
2020-11-21|4|9|4|2
2020-11-25|6|5|5|4
2020-10-23|7|38|2|4
2020-09-20|4|71|1|2
2020-10-18|5|43|2|3
2020-10-07|2|54|1|1
2020-10-03|5|58|1|3
2020-11-27|6|3|5|4
2020-11-17|6|13|4|4
2020-09-22|2|69|1|1
2020-11-27|6|3|5|4
2020-11-30|7|0|5|4
2020-10-17|4|44|2|2
2020-11-20|8|10|4|5
2020-10-31|7|30|2|4
2020-11-01|3|29|2|1
2020-11-21|6|9|4|4
2020-06-14|1|169|1|1
2020-10-18|5|43|2|3
2020-09-20|3|71|1|1
2020-11-28|9|2|5|5
2020-11-14|6|16|3|4
2020-11-28|5|2|5|3
2020-11-26|1|4|5|1
2020-09-15|4|76|1|2
2020-10-21|6|40|2|4
2020-09-28|2|63|1|1
2020-11-30|9|0|5|5
2020-11-21|10|9|4|5
2020-10-25|2|36|2|1
2020-11-23|4|7|4|2
2020-11-10|5|20|3|3
2020-11-26|6|4|5|4
2020-11-30|18|0|5|5
2020-09-20|2|71|1|1
2020-11-30|5|0|5|3
2020-11-29|11|1|5|5
2020-11-22|5|8|4|3
2020-11-12|4|18|3|2
2020-11-21|11|9|4|5
2020-07-31|3|122|1|1
2020-08-15|2|107|1|1
2020-08-20|2|102|1|1
2020-11-28|8|2|5|5
2020-11-25|8|5|5|5
2020-09-16|5|75|1|3
2020-10-12|5|49|2|3
2020-10-12|5|49|2|3
2020-10-29|3|32|2|1
2020-11-08|7|22|3|4
2020-10-23|3|38|2|1
2020-09-25|5|66|1|3
2020-10-16|3|45|2|1
2020-11-18|5|12|4|3
2020-11-28|10|2|5|5
2020-11-23|5|7|4|3
2020-11-15|4|15|3|2
2020-11-23|7|7|4|4
2020-10-20|4|41|2|2
2020-11-26|3|4|5|1
2020-10-17|3|44|2|1
2020-11-25|2|5|5|1
2020-10-20|6|41|2|4
2020-11-15|6|15|3|4
2020-08-15|3|107|1|1
2020-11-29|5|1|5|3
2020-10-18|3|43|2|1
2020-11-15|3|15|3|1
2020-11-20|4|10|4|2
2020-11-29|4|1|5|2
2020-10-07|6|54|1|4
2020-08-21|1|101|1|1
2020-11-28|12|2|5|5
2020-11-27|6|3|5|4
2020-11-29|9|1|5|5
2020-09-28|3|63|1|1
2020-11-23|2|7|4|1
2020-11-29|6|1|5|4
2020-11-28|10|2|5|5
2020-11-11|3|19|3|1
2020-09-22|5|69|1|3
2020-11-03|5|27|3|3
2020-11-14|5|16|3|3
2020-11-29|8|1|5|5
2020-11-29|4|1|5|2
2020-09-30|6|61|1|4
2020-10-20|4|41|2|2
2020-10-11|2|50|2|1
2020-10-26|3|35|2|1
2020-11-28|11|2|5|5
2020-10-26|4|35|2|2
2020-11-30|5|0|5|3
2020-11-29|1|1|5|1
2020-11-10|6|20|3|4
2020-11-21|4|9|4|2
2020-10-19|7|42|2|4
2020-11-30|8|0|5|5
2020-11-10|6|20|3|4
2020-08-04|5|118|1|3
2020-11-02|3|28|3|1
2020-11-14|8|16|3|5
2020-11-29|19|1|5|5
2020-11-29|2|1|5|1
2020-11-28|6|2|5|4
2020-10-20|4|41|2|2
2020-11-22|8|8|4|5
2020-11-30|14|0|5|5
2020-08-25|4|97|1|2
2020-10-18|6|43|2|4
2020-10-30|2|31|2|1
2020-11-03|5|27|3|3
2020-11-30|5|0|5|3
2020-09-30|4|61|1|2
2020-09-28|4|63|1|2
2020-11-20|8|10|4|5
2020-09-29|2|62|1|1
2020-11-22|5|8|4|3
2020-11-30|4|0|5|2
2020-08-26|3|96|1|1
2020-11-29|11|1|5|5
2020-10-08|2|53|1|1
2020-11-21|4|9|4|2
2020-11-30|10|0|5|5
2020-11-24|6|6|4|4
2020-10-17|5|44|2|3
2020-10-08|3|53|1|1
2020-11-15|3|15|3|1
2020-10-31|3|30|2|1
2020-11-14|6|16|3|4
2020-09-15|4|76|1|2
2020-10-26|7|35|2|4
2020-10-13|6|48|2|4
2020-11-02|2|28|3|1
2020-10-31|9|30|2|5
2020-11-09|13|21|3|5
2020-11-22|5|8|4|3
2020-09-16|6|75|1|4
2020-11-14|6|16|3|4
2020-11-24|6|6|4|4
2020-11-26|6|4|5|4
2020-08-24|3|98|1|1
2020-11-11|2|19|3|1
2020-11-18|11|12|4|5
2020-11-22|6|8|4|4
2020-11-23|6|7|4|4
2020-09-17|3|74|1|1
2020-11-25|7|5|5|4
2020-10-30|6|31|2|4
2020-11-12|11|18|3|5
2020-11-04|6|26|3|4
2020-09-28|2|63|1|1
2020-11-17|3|13|4|1
2020-10-01|3|60|1|1
2020-11-03|8|27|3|5
2020-11-23|6|7|4|4
2020-10-30|5|31|2|3
2020-10-14|3|47|2|1
2020-11-21|9|9|4|5
2020-09-27|3|64|1|1
2020-11-20|5|10|4|3
2020-08-26|4|96|1|2
2020-09-20|3|71|1|1
2020-11-13|4|17|3|2
2020-10-20|5|41|2|3
2020-11-03|4|27|3|2
2020-11-01|4|29|2|2
2020-11-30|5|0|5|3
2020-10-03|3|58|1|1
2020-09-29|1|62|1|1
2020-11-09|7|21|3|4
2020-11-24|5|6|4|3
2020-11-28|7|2|5|4
2020-11-28|12|2|5|5
2020-11-02|3|28|3|1
2020-09-20|2|71|1|1
2020-11-23|3|7|4|1
2020-11-02|4|28|3|2
2020-11-25|7|5|5|4
2020-10-11|3|50|2|1
2020-10-23|9|38|2|5
2020-11-23|7|7|4|4
2020-11-04|5|26|3|3
2020-10-26|5|35|2|3
2020-11-06|4|24|3|2
2020-11-27|7|3|5|4
2020-11-29|6|1|5|4
2020-11-11|5|19|3|3
2020-09-20|2|71|1|1
2020-10-02|3|59|1|1
2020-11-02|3|28|3|1
2020-10-29|5|32|2|3
2020-10-27|3|34|2|1
2020-08-03|3|119|1|1
2020-11-12|7|18|3|4
2020-11-03|3|27|3|1
2020-07-22|4|131|1|2
2020-11-22|5|8|4|3
2020-11-28|5|2|5|3
2020-07-22|1|131|1|1
2020-11-24|8|6|4|5
2020-11-15|9|15|3|5
2020-10-04|2|57|1|1
2020-11-15|4|15|3|2
2020-10-27|5|34|2|3
2020-11-28|4|2|5|2
2020-11-06|7|24|3|4
2020-10-16|5|45|2|3
2020-06-21|2|162|1|1
2020-11-19|5|11|4|3
2020-10-25|5|36|2|3
2020-11-13|3|17|3|1
2020-10-30|8|31|2|5
2020-11-25|13|5|5|5
2020-11-08|2|22|3|1
2020-11-27|5|3|5|3
2020-10-01|4|60|1|2
2020-10-31|6|30|2|4
2020-11-30|2|0|5|1
2020-11-20|4|10|4|2
2020-08-03|1|119|1|1
2020-11-17|8|13|4|5
2020-11-21|2|9|4|1
2020-11-23|13|7|4|5
2020-11-10|5|20|3|3
2020-11-23|4|7|4|2
2020-11-17|3|13|4|1
2020-11-23|4|7|4|2
2020-11-26|6|4|5|4
2020-10-14|7|47|2|4
2020-11-01|6|29|2|4
2020-10-25|4|36|2|2
2020-11-17|4|13|4|2
2020-11-30|9|0|5|5
2020-11-11|8|19|3|5
2020-11-30|5|0|5|3
2020-08-08|2|114|1|1
2020-11-14|9|16|3|5
2020-11-06|8|24|3|5
2020-09-14|7|77|1|4
2020-11-14|3|16|3|1
2020-11-14|7|16|3|4
2020-11-06|5|24|3|3
2020-11-15|11|15|3|5
2020-09-08|5|83|1|3
2020-11-17|9|13|4|5
2020-09-24|2|67|1|1
2020-09-23|2|68|1|1
2020-11-03|3|27|3|1
2020-11-30|3|0|5|1
2020-10-05|3|56|1|1
2020-10-23|4|38|2|2
2020-11-29|5|1|5|3
2020-11-29|4|1|5|2
2020-08-26|3|96|1|1
2020-11-17|9|13|4|5
2020-11-17|6|13|4|4
2020-10-22|4|39|2|2
2020-10-19|4|42|2|2
2020-11-27|5|3|5|3
2020-10-12|6|49|2|4
2020-10-14|7|47|2|4
2020-07-22|2|131|1|1
2020-11-15|3|15|3|1
2020-10-10|3|51|2|1
2020-07-21|2|132|1|1
2020-11-29|10|1|5|5
2020-10-19|8|42|2|5
2020-11-29|3|1|5|1
2020-10-27|6|34|2|4
2020-11-14|7|16|3|4
2020-11-22|4|8|4|2
2020-10-12|3|49|2|1
2020-11-13|7|17|3|4
2020-11-02|6|28|3|4
2020-09-21|7|70|1|4
2020-11-22|9|8|4|5
2020-11-27|6|3|5|4
2020-11-17|4|13|4|2
2020-11-12|6|18|3|4
2020-11-11|6|19|3|4
2020-09-19|4|72|1|2
